[2026-01-10 20:30:43] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:27] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:46] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:37:11] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:41:57] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:51:25] production.INFO: Method: getPlayersOnline. Server: 3. Player: 76561199784177636([ZOV]Adel Vagina). Prev online: 821, Server Online: 301066, Online: 19126. Diff online: 18305, All online: 301845, Monday online: 301066, Thursday online: 0  
[2026-01-10 20:51:26] production.INFO: Method: getPlayersOnline. Server: 3. Player: 76561198963552642(Alaska). Prev online: 5503, Server Online: 654323, Online: 11519. Diff online: 6016, All online: 2018586, Monday online: 654323, Thursday online: 0  
[2026-03-13 14:25:39] local.INFO: Method: getPlayersOnline. Start...  
[2026-03-13 14:25:39] local.INFO: Method: getPlayersOnline. Server: 3. Player: 76561199821262476(кава бухаетCS2BGD31.RU). Prev online: 611, Server Online: 564624, Online: 816. Diff online: 205, All online: 856173, Monday online: 564624, Thursday online: 0  
[2026-03-13 14:26:02] local.INFO: Method: getPlayersOnline. Start...  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199203821366(Xd). Prev online: 1850, Server Online: 468018, Online: 6285. Diff online: 4435, All online: 908576, Monday online: 399228, Thursday online: 0  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199743727010(werdix #ultimaterust). Prev online: 3565, Server Online: 0, Online: 3565. Diff online: 0, All online: 59223, Monday online: 59223, Thursday online: 0  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198451931006(Tom). Prev online: 794, Server Online: 2889267, Online: 22476. Diff online: 21682, All online: 3985588, Monday online: 451948, Thursday online: 0  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199261706104(76561199261706104). Prev online: 3030, Server Online: 328551, Online: 18199. Diff online: 15169, All online: 2242878, Monday online: 714881, Thursday online: 0  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199384774505(trouble. whyyoufall1ng?). Prev online: 1296, Server Online: 228584, Online: 6425. Diff online: 5129, All online: 453242, Monday online: 131401, Thursday online: 0  
[2026-03-13 14:26:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199091294625(lagaet na ffa). Prev online: 14112, Server Online: 840555, Online: 2171. Diff online: 5129, All online: 1126298, Monday online: 164273, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198332903750(FOG. | Окрошка)). Prev online: 4793, Server Online: 401688, Online: 20437. Diff online: 15644, All online: 709456, Monday online: 307768, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199120398108(★PEPSIK★). Prev online: 806, Server Online: 61973, Online: 8473. Diff online: 7667, All online: 92884, Monday online: 30911, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199258134981(胖他媽的). Prev online: 2908, Server Online: 3193, Online: 1573. Diff online: 7667, All online: 97323, Monday online: 94130, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199756724747(Dums#VorpalSwords). Prev online: 3524, Server Online: 7985, Online: 2481. Diff online: 7667, All online: 51443, Monday online: 43458, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199189404944(furtonger). Prev online: 20376, Server Online: 91340, Online: 17383. Diff online: 7667, All online: 184794, Monday online: 93454, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199499329355(冬Tw1nkev冬). Prev online: 749, Server Online: 112095, Online: 12898. Diff online: 12149, All online: 148989, Monday online: 36894, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198128833802(Cow pussy). Prev online: 638, Server Online: 37758, Online: 11935. Diff online: 11297, All online: 483524, Monday online: 273804, Thursday online: 0  
[2026-03-13 14:26:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199197000922(утка). Prev online: 2971, Server Online: 0, Online: 2971. Diff online: 0, All online: 0, Monday online: 0, Thursday online: 0  
[2026-03-13 14:26:05] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199704747517([OSB] фуфел шмерц). Prev online: 25585, Server Online: 764683, Online: 3974. Diff online: 0, All online: 1265060, Monday online: 500377, Thursday online: 0  
[2026-03-13 14:26:05] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198977413624(гуль). Prev online: 7465, Server Online: 2075657, Online: 797. Diff online: 0, All online: 2923467, Monday online: 831786, Thursday online: 0  
